開催年月日,タイトル,場所,テーマ,タグ
2017-03-11,高専カンファレンス in 沼津4,沼津高専,window,107numazu4
2017-03-25,高専カンファレンス in 東京,株式会社オプティム東京本社（東京都港区 汐留ビルディング 21F）,,109tokyo
2017-07-01,高専カンファレンス in 舞鶴2,舞鶴高専大会議室,Isolated world ~蛙のジャンプ~,110maizuru2
2017-09-16,高専カンファレンス×メディアマーケット,川崎市産業振興会館(神奈川県川崎市幸区 川崎市産業振興会館4F BC展示場,『やりたいこと』を、『やる』,108mediamarket
2017-12-23,高専カンファレンス in 長野3,新小路カフェ(長野県長野市),PARTY!,112nagano3
2018-01-13,高専カンファレンスえぶりわん！ in 大阪,さくらインターネット本社(大阪府大阪市),えぶりわん！,113everyone
2018-03-09,高専合唱カンファレンスin長野1,まつもと市民芸術館スタジオ2(長野県松本市),kosen × chorus = korus!!,116korus01
2018-03-17,高専カンファレンス in 西京,宇部工業高等専門学校(山口県宇部市),諸君、狂いたまえ,111saikyo
2018-03-31,高専カンファレンス in 高尾,東京工業高等専門学校(東京都八王子市),,118takao
2018-07-07,高専カンファレンスin京都七夕 豪雨災害により中止,京都市生涯学習総合センター(京都アスニー) (京都府京都市),和,115kyoto2
2018-07-07,高専カンファレンスin京都女子 豪雨災害により中止,京都市生涯学習総合センター(京都アスニー) (京都府京都市),和,117kyotogirl
2018-07-15,高専カンファレンス in 東京 2018,DMMグループセミナールーム(東京都港区),,114tokyo
2018-08-13,高専カンファレンス in コミケ94,コミックマーケット94,,121c94
2018-08-18,高専合唱カンファレンス in 沼津,三島市民文化会館 ゆぅゆぅホール（静岡県三島市）,korus2!! ～歌は高専をつなぐ～,120korus02-numazu
2018-08-25,高専カンファレンス in 京都,RAKUBAKO洛箱 (京都府京都市),和,121kyoto
2018-09-16,高専カンファレンスART in 明石,明石高専階段教室（兵庫県明石市）,ART,119akashi
2018-10-28,高専カンファレンス in 木更津高専文化祭,木更津工業高等専門学校（千葉県木更津市）,,125kisarazu
2018-12-22,高専カンファレンス in 名古屋2018,東カン名古屋キャステール2階（愛知県名古屋市）,ものづくり,124nagoya2018
2018-12-31,高専カンファレンス in コミケ95,コミックマーケット95 東地区 Ｏ37b,,126c95
2019-01-12,高専カンファレンス新春 in 大阪,さくらインターネット本社(大阪府大阪市),猪突猛進／百花繚乱,123shinshun
"2019-03-03,17,24",高専カンファレンス×学生LT,"N高等学校代々木キャンパス別館(東京), N高等学校名古屋キャンパス(名古屋), N高等学校心斎橋キャンパス(大阪)",繋がる。,128studentLT
2019-03-09,高専カンファレンス in 奈良,奈良商工会議所 中ホール(奈良県奈良市),swamp,129nara
2019-03-16,高専カンファレンス in 西京2,中市コミュニティホールNac(山口県山口市),やむにやまれぬ大和魂,127saikyo
2019-04-27,高専カンファレンス in 高尾2019,東京工業高等専門学校CC棟1階(東京都八王子市),,135tokyo2
2019-05-01,高専カンファレンス in 讃岐,サンポートホール高松54会議室(香川県高松市),そらをとぶ,130sanuki
2019-07-14,高専カンファレンスNonIT,デザイン・クリエイティブセンター神戸［KIITO]レンタルスペース303,"""Make things like 'Like' as like.""",132NonIT
2019-08-11,高専カンファレンス in Comike96,コミックマーケット96 日曜日(3日目) 西た05b,,141-c96
2019-08-17,高専カンファレンス in 北海道,札幌市産業振興センター(北海道札幌市),初星〜その先の、道へ。高専生〜,131hokkaido
2019-08-25,高専カンファレンス in 鈴鹿,鈴鹿工業高等専門学校(三重県鈴鹿市),Think Think Think,137suzuka
2019-09-01,高専カンファレンス in 房総,木更津工業高等専門学校(千葉県木更津市),君去らず 袖しが浦に立つ波の その面影をみるぞ悲しき,133boso
2019-09-07,高専カンファレンス in 沖縄,沖縄県立武道館(奥武山公園)研修室,いちゃりばちょーでー,134okinawa
2019-09-09,高専カンファレンス in 明石3,明石工業高等専門学校(兵庫県明石市),Free creation,138akashi
2019-09-14,高専カンファレンス in 京都,はてな本社(京都府京都市),,139kyoto
2019-11-02,高専カンファレンス in 仙台3,仙台高等専門学校広瀬キャンパス（宮城県仙台市）,新規創成,140sendai-3
2019-11-03,高専カンファレンス in 小山 2019,小山工業高等専門学校(栃木県小山市),高専を、語ろう。,136oyama
2020-01-11,新春高専カンファレンス初風,さくらインターネット本社(大阪府大阪市),春の初風,142newyear
2020-03-06,高専カンファレンス よーそろ *新型コロナウイルス感染拡大防止のため中止,沖縄県立博物館 会議室(沖縄県那覇市),大海を知る,145steady
2020-03-11,高専合唱カンファレンス３! in 千葉 *新型コロナウイルス感染拡大防止のため中止,松戸市文化会館(森のホール21) リハーサル室１ (千葉県松戸市),korus3!! 〜3月11日に群青を歌おう〜,144korus03-chiba
2020-03-21,高専カンファレンスin吉備 *新型コロナウイルス感染拡大防止のため中止,岡山県立図書館多目的ホール(岡山県岡山市),知る、一歩,143kibi
2023-03-21,高専カンファレンスin福岡,福岡市健康づくりサポートセンター「あいれふ」10F講堂(福岡県福岡市),TimeLine～足跡を学び、足跡を創ろう～,147fukuoka
2023-08-22,高専カンファレンスin高尾,東京工業高等専門学校 5201室,15年目の再始動,152takao
2023-12-28,高専カンファレンスin大阪,大阪市立浪速区民センター,集え、未来の技術者,150osaka
2024-01-07,Howto高専カンファレンス in 新宿,喫茶室ルノアール新宿3丁目ビッグスビル店(東京都新宿区),,154howto
2024-03-09,高専音楽カンファレンス in 甲府,韮崎市民交流センターニコリ　音楽室2,musen,153kofu
2024-03-19，20,高専カンファレンス in 浜松,アクトシティ浜松（静岡県浜松市中区）,土建折衷,151hamamatsu
2024-03-28,高専カンファレンス in 本巣,岐阜高専図書館棟多目的ホール（岐阜県本巣市）,12年振りにこの地で,156motosu
2024-04-28,高専カンファレンス in 仙台4,東北大学片平さくらホール（宮城県仙台市青葉区）,夢,157sendai4
2024-05-04,高専カンファレンス be 神戸,神戸市立高専本部棟2Fホール(兵庫県神戸市西区),BE KOSEN,158bekobe
2024-06-29,高専カンファレンス in 豊田,崇化館交流館(愛知県豊田市),とんがりがいいんじゃね？！,165toyota
2024-08-12,高専カンファレンス in あぶくま(角田) ,角田市市民センター(宮城県角田市)オンライン,RENEWAL KOSEN CONF,162kakuda
2024-08-17,高専カンファレンス in あぶくま(福島),三河台学習センター(福島県福島市),RENEWAL KOSEN CONF,162_1fukushima
2024-08-22,高専カンファレンス in 富山2 ,富山高等専門学校 本郷キャンパス,理学ちゃなんけ?!,159toyama
2024-09-14,高専カンファレンス in 沖縄2024 ,沖縄県立図書館　3Fホール,高専人ぬ宝　〜南の島で郷土愛を叫ぶ〜,167okinawa
